SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22003,2544,0020301179,"Apr 14, 2004",CLE @ NYK,W,35,8,17,0.471,0,3,0.0,1,1,1.0,0,1,1,5,3,0,5,1,17,-6,0
22003,2544,0020301162,"Apr 12, 2004",CLE vs. MIL,W,45,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,1,27,11,0
22003,2544,0020301151,"Apr 10, 2004",CLE vs. MIA,W,32,4,11,0.364,0,2,0.0,2,5,0.4,1,2,3,11,0,0,2,3,10,14,0
22003,2544,0020301137,"Apr 09, 2004",CLE @ MIA,L,42,6,14,0.429,1,1,1.0,11,15,0.733,1,6,7,8,1,0,8,2,24,-16,0
22003,2544,0020301128,"Apr 07, 2004",CLE @ MEM,L,36,4,11,0.364,0,0,0.0,6,7,0.857,0,3,3,5,3,0,2,4,14,-11,0
22003,2544,0020301115,"Apr 06, 2004",CLE vs. TOR,L,46,5,17,0.294,0,0,0.0,11,14,0.786,1,5,6,4,3,0,3,2,21,2,0
22003,2544,0020301102,"Apr 03, 2004",CLE vs. GSW,L,46,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,1,34,-3,0
22003,2544,0020301097,"Apr 02, 2004",CLE @ MIL,L,36,9,19,0.474,0,0,0.0,2,2,1.0,0,7,7,7,5,0,5,3,20,-13,0
22003,2544,0020301073,"Mar 30, 2004",CLE @ DAL,L,42,13,22,0.591,0,2,0.0,2,4,0.5,1,4,5,6,4,0,3,2,28,-10,0
22003,2544,0020301069,"Mar 29, 2004",CLE @ SAS,L,32,9,20,0.45,0,1,0.0,0,0,0.0,0,2,2,4,0,1,2,0,18,-14,0
22003,2544,0020301050,"Mar 27, 2004",CLE vs. NJN,W,43,15,29,0.517,1,2,0.5,10,10,1.0,2,4,6,13,3,0,2,1,41,10,0
22003,2544,0020301038,"Mar 26, 2004",CLE @ PHI,L,33,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,1,16,-24,0
22003,2544,0020301018,"Mar 23, 2004",CLE vs. PHX,L,42,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,0,25,-12,0
22003,2544,0020301008,"Mar 21, 2004",CLE vs. DET,L,36,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,15,-21,0
22003,2544,0020300989,"Mar 19, 2004",CLE vs. UTA,L,33,4,14,0.286,0,2,0.0,6,10,0.6,0,0,0,7,2,1,2,3,14,-2,0
22003,2544,0020300967,"Mar 16, 2004",CLE vs. CHI,W,32,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,17,24,0
22003,2544,0020300957,"Mar 14, 2004",CLE vs. IND,W,44,12,22,0.545,0,2,0.0,2,4,0.5,0,3,3,4,3,1,4,3,26,5,0
22003,2544,0020300928,"Mar 10, 2004",CLE @ TOR,W,34,4,13,0.308,0,0,0.0,6,7,0.857,1,2,3,4,1,0,2,2,14,16,0
22003,2544,0020300914,"Mar 08, 2004",CLE @ ATL,W,45,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,34,11,0
22003,2544,0020300899,"Mar 06, 2004",CLE vs. MIL,W,43,11,24,0.458,0,3,0.0,2,3,0.667,2,5,7,10,4,1,2,3,24,9,0
22003,2544,0020300890,"Mar 05, 2004",CLE @ NOH,W,37,7,17,0.412,2,2,1.0,3,4,0.75,2,4,6,4,2,0,4,5,19,1,0
22003,2544,0020300876,"Mar 03, 2004",CLE vs. ATL,W,28,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,24,22,0
22003,2544,0020300865,"Mar 01, 2004",CLE @ CHI,L,41,7,17,0.412,0,2,0.0,4,6,0.667,0,3,3,3,4,1,3,2,18,-4,0
22003,2544,0020300838,"Feb 27, 2004",CLE @ ORL,W,49,11,19,0.579,1,1,1.0,7,8,0.875,1,10,11,3,3,1,5,1,30,7,0
22003,2544,0020300830,"Feb 25, 2004",CLE @ HOU,L,39,5,18,0.278,0,2,0.0,1,3,0.333,2,5,7,5,2,1,2,1,11,-5,0
22003,2544,0020300812,"Feb 23, 2004",CLE vs. NOH,W,36,7,16,0.438,1,5,0.2,6,6,1.0,0,4,4,6,2,5,1,3,21,4,0
22003,2544,0020300802,"Feb 22, 2004",CLE @ NYK,W,44,7,20,0.35,0,0,0.0,8,12,0.667,1,4,5,3,1,0,1,2,22,11,0
22003,2544,0020300789,"Feb 20, 2004",CLE vs. SAS,W,39,14,23,0.609,0,0,0.0,4,4,1.0,2,9,11,2,2,1,2,0,32,3,0
22003,2544,0020300775,"Feb 18, 2004",CLE vs. DAL,L,34,6,12,0.5,0,0,0.0,4,4,1.0,2,2,4,9,0,1,5,2,16,-15,0
22003,2544,0020300752,"Feb 11, 2004",CLE vs. NJN,L,29,2,13,0.154,0,1,0.0,5,5,1.0,1,1,2,5,1,0,5,0,9,-12,0
22003,2544,0020300737,"Feb 09, 2004",CLE vs. BOS,W,43,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,3,24,19,0
22003,2544,0020300725,"Feb 07, 2004",CLE vs. WAS,L,34,6,16,0.375,0,0,0.0,2,2,1.0,0,0,0,6,4,1,3,2,14,-24,0
22003,2544,0020300715,"Feb 06, 2004",CLE @ MIN,L,44,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,2,14,-16,0
22003,2544,0020300703,"Feb 04, 2004",CLE vs. LAL,L,43,12,26,0.462,4,4,1.0,4,5,0.8,0,4,4,4,0,0,0,0,32,-2,0
22003,2544,0020300694,"Feb 03, 2004",CLE @ DET,W,38,5,19,0.263,0,1,0.0,2,2,1.0,1,3,4,6,2,0,1,2,12,-1,0
22003,2544,0020300680,"Feb 01, 2004",CLE @ WAS,W,43,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,4,38,0,0
22003,2544,0020300666,"Jan 30, 2004",CLE @ MIL,L,37,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,5,20,3,0
22003,2544,0020300647,"Jan 28, 2004",CLE vs. MIA,W,44,10,25,0.4,0,1,0.0,7,10,0.7,0,5,5,4,2,1,1,1,27,2,0
22003,2544,0020300635,"Jan 26, 2004",CLE vs. ORL,W,30,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,-10,0
22003,2544,0020300573,"Jan 17, 2004",CLE @ UTA,W,45,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,8,0
22003,2544,0020300556,"Jan 15, 2004",CLE @ GSW,L,43,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,0,29,-14,0
22003,2544,0020300541,"Jan 13, 2004",CLE @ SEA,W,44,11,26,0.423,0,1,0.0,5,6,0.833,4,5,9,9,2,0,4,2,27,11,0
22003,2544,0020300531,"Jan 12, 2004",CLE @ LAL,L,37,6,20,0.3,0,3,0.0,4,5,0.8,1,4,5,7,1,1,6,3,16,3,0
22003,2544,0020300508,"Jan 09, 2004",CLE @ BOS,L,43,7,19,0.368,0,3,0.0,5,7,0.714,0,3,3,6,3,0,5,1,19,-30,0
22003,2544,0020300494,"Jan 07, 2004",CLE @ TOR,L,38,10,23,0.435,0,3,0.0,1,2,0.5,0,2,2,5,0,0,2,3,21,-2,0
22003,2544,0020300485,"Jan 06, 2004",CLE vs. NYK,W,41,6,17,0.353,0,2,0.0,2,2,1.0,0,4,4,10,1,1,4,1,14,10,0
22003,2544,0020300455,"Jan 02, 2004",CLE @ NJN,L,37,6,19,0.316,0,4,0.0,2,4,0.5,1,3,4,9,1,0,3,2,14,-14,0
22003,2544,0020300440,"Dec 30, 2003",CLE vs. IND,L,38,9,20,0.45,0,4,0.0,4,6,0.667,2,8,10,4,0,0,4,2,22,-2,0
22003,2544,0020300424,"Dec 28, 2003",CLE vs. POR,W,39,15,23,0.652,0,2,0.0,2,2,1.0,3,7,10,9,3,0,5,1,32,11,0
22003,2544,0020300405,"Dec 26, 2003",CLE vs. CHI,L,34,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,-12,0
22003,2544,0020300401,"Dec 25, 2003",CLE @ ORL,L,47,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,-9,0
22003,2544,0020300389,"Dec 23, 2003",CLE vs. NOH,W,39,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,1,22,9,0
22003,2544,0020300374,"Dec 20, 2003",CLE @ CHI,W,42,11,22,0.5,0,5,0.0,10,12,0.833,1,5,6,10,2,2,4,2,32,9,0
